state_name,year,unemployment_rate_pct,metric,data_source
Himachal Pradesh,2020-21,3.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Himachal Pradesh,2021-22,4.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Himachal Pradesh,2022-23,4.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Himachal Pradesh,2023-24,5.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jammu and Kashmir,2019-20,6.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jammu and Kashmir,2020-21,5.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jammu and Kashmir,2021-22,5.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jammu and Kashmir,2022-23,4.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jammu and Kashmir,2023-24,6.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jharkhand,2019-20,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jharkhand,2020-21,3.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jharkhand,2021-22,2.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jharkhand,2022-23,1.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Jharkhand,2023-24,1.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Karnataka,2019-20,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Karnataka,2020-21,2.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Karnataka,2021-22,3.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Karnataka,2022-23,2.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Karnataka,2023-24,2.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Kerala,2019-20,10.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Kerala,2020-21,10.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Kerala,2021-22,9.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Kerala,2022-23,7.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Kerala,2023-24,7.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Ladakh,2019-20,0.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Ladakh,2020-21,2.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
