state_name,total_unorganised_registrations,snapshot_date
Andaman and Nicobar Islands,33085,2025-03-23
Andhra Pradesh,8344403,2025-03-23
Arunachal Pradesh,204987,2025-03-23
Assam,7635682,2025-03-23
Bihar,29826750,2025-03-23
Chandigarh,186504,2025-03-23
Chhattisgarh,8555759,2025-03-23
Delhi,3531874,2025-03-23
Goa,77907,2025-03-23
Gujarat,11967347,2025-03-23
Haryana,5377958,2025-03-23
Himachal Pradesh,1990770,2025-03-23
Jammu and Kashmir,3578863,2025-03-23
Jharkhand,9644758,2025-03-23
Karnataka,10734841,2025-03-23
Kerala,6028554,2025-03-23
Ladakh,33994,2025-03-23
Lakshadweep,2819,2025-03-23
Madhya Pradesh,18705240,2025-03-23
Maharashtra,17605903,2025-03-23
Manipur,456324,2025-03-23
Meghalaya,333195,2025-03-23
Mizoram,65284,2025-03-23
Nagaland,234954,2025-03-23
Odisha,13572023,2025-03-23
Puducherry,191451,2025-03-23
Punjab,5807015,2025-03-23
Rajasthan,14620022,2025-03-23
Sikkim,42989,2025-03-23
Tamil Nadu,9106543,2025-03-23
Telangana,4489343,2025-03-23
Dadra and Nagar Haveli and Daman and Diu,74842,2025-03-23
Tripura,890278,2025-03-23
Uttar Pradesh,83843449,2025-03-23
Uttarakhand,3068392,2025-03-23
West Bengal,26445491,2025-03-23
