Sl. No.,State/UT,Total Registrations
1,Andaman and Nicobar Islands,33085
2,Andhra Pradesh,8344403
3,Arunachal Pradesh,204987
4,Assam,7635682
5,Bihar,29826750
6,Chandigarh,186504
7,Chhattisgarh,8555759
8,Delhi,3531874
9,Goa,77907
10,Gujarat,11967347
11,Haryana,5377958
12,Himachal Pradesh,1990770
13,Jammu and Kashmir,3578863
14,Jharkhand,9644758
15,Karnataka,10734841
16,Kerala,6028554
17,Ladakh,33994
18,Lakshadweep,2819
19,Madhya Pradesh,18705240
20,Maharashtra,17605903
21,Manipur,456324
22,Meghalaya,333195
23,Mizoram,65284
24,Nagaland,234954
25,Odisha,13572023
26,Puducherry,191451
27,Punjab,5807015
28,Rajasthan,14620022
29,Sikkim,42989
30,Tamil Nadu,9106543
31,Telangana,4489343
32,Dadra and Nagar Haveli and Daman and Diu,74842
33,Tripura,890278
34,Uttar Pradesh,83843449
35,Uttarakhand,3068392
36,West Bengal,26445491
Total,Total,307309593
